cid,NumAliphaticHeterocycles,NumHeteroatoms,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_aldehyde,fr_azide,fr_azo,fr_diazo,fr_epoxide,fr_hdrzine,fr_nitroso
46215815,1,9,4,1,0,0,0,0,0,0,0,0
42611257,0,10,2,1,0,0,0,0,0,0,0,0
25262965,2,9,3,0,0,0,0,0,0,0,0,0
25126798,0,6,5,1,0,0,0,0,0,0,0,0
24978538,2,18,0,0,0,0,0,0,0,0,0,0
24964624,0,6,4,1,0,0,0,0,0,0,0,0
24856436,1,10,5,0,0,0,0,0,0,0,0,0
23725625,1,8,2,1,0,0,0,0,0,0,0,0
17755052,2,12,4,1,0,0,0,0,0,0,0,0
17754438,0,9,8,0,0,0,0,0,0,0,0,0
16720766,0,10,3,0,0,0,0,0,0,0,0,0
16654980,2,11,3,0,0,0,0,0,0,0,0,0
11977753,0,6,4,0,0,0,0,0,0,0,0,0
11964036,2,9,0,0,0,0,0,0,0,0,0,0
11960529,1,5,2,1,0,0,0,0,0,0,0,0
11717001,0,6,3,0,0,0,0,0,0,0,0,0
11707110,0,11,3,0,0,0,0,0,0,0,0,0
11626560,1,9,3,0,0,0,0,0,0,0,0,0
11525740,0,10,4,0,0,0,0,0,0,0,0,0
11494412,2,5,2,1,0,0,0,0,0,0,0,0
10127622,0,10,2,0,0,0,0,0,0,0,0,0
9884685,1,7,3,0,1,0,0,0,0,0,0,0
9826528,0,10,0,0,0,0,0,0,0,0,0,0
6450551,0,6,3,1,0,0,0,0,0,0,0,0
5288382,1,11,0,0,0,0,0,0,0,0,0,0
3062316,1,11,3,0,0,0,0,0,0,0,0,0
2733526,0,2,0,0,0,0,0,0,0,0,0,0
644241,0,11,5,0,0,0,0,0,0,0,0,0
457193,5,28,1,0,0,0,0,0,0,0,0,0
444795,0,2,0,0,0,0,0,0,0,0,0,0
441276,1,15,0,0,0,0,0,0,0,0,0,0
387447,0,9,2,0,0,0,0,0,0,0,0,0
354624,1,10,4,0,0,0,0,0,0,0,0,0
216326,2,6,0,0,0,0,0,0,0,0,0,0
208908,0,11,2,0,0,0,0,0,0,0,0,0
176871,0,7,2,0,0,0,0,0,0,0,0,0
176167,2,7,3,0,0,0,0,0,0,0,0,0
123631,1,9,2,0,0,0,0,0,0,0,0,0
71384,2,8,0,0,0,0,0,0,0,0,0,0
60699,2,8,2,0,1,0,0,0,0,0,0,0
60198,0,2,0,0,0,0,0,0,0,0,0,0
57469,0,4,3,0,0,0,0,0,0,0,0,0
36462,4,13,0,0,1,0,0,0,0,0,0,0
11683,0,4,0,0,0,0,0,0,0,0,0,0
9703,0,4,0,0,0,0,0,0,0,0,1,0
9444,1,9,3,0,0,0,0,0,0,0,0,0
5743,0,6,0,0,0,0,0,0,0,0,0,0
5453,3,5,0,0,0,0,0,0,0,0,0,0
5426,2,6,0,0,0,0,0,0,0,0,0,0
5394,0,8,5,0,0,0,0,0,0,0,0,0
5311,0,5,0,0,0,0,0,0,0,0,0,0
4261,0,7,1,0,0,0,0,0,0,0,0,0
4211,0,4,0,0,0,0,0,0,0,0,0,0
4114,0,4,0,0,0,0,0,0,0,0,0,0
4091,0,5,0,0,0,0,0,0,0,0,0,0
3902,0,5,3,0,0,0,0,0,0,0,0,0
3690,1,7,0,0,0,0,0,0,0,0,0,0
3385,0,5,2,2,0,0,0,0,0,0,0,0
3363,1,8,2,1,0,0,0,0,0,0,0,0
2719,0,4,1,0,0,0,0,0,0,0,0,0
2708,0,5,0,0,0,0,0,0,0,0,0,0
2662,0,9,2,0,0,0,0,0,0,0,0,0
2478,0,8,0,0,0,0,0,0,0,0,0,0
2187,0,5,3,0,0,0,0,0,0,0,0,0
2141,0,7,0,0,0,0,0,0,0,0,0,0
2123,0,6,3,0,0,0,0,0,0,0,0,0
2094,0,5,4,2,0,0,0,0,0,0,0,0
4014291,2,7,2,0,1,0,0,0,0,0,0,0
